crisis,model,n_days,actual_rv_mean,RMSE,MAE,QLIKE
Aug 2023 selloff,Naive,11,0.0011749029647755546,0.004146396166976013,0.0018885773943471094,-0.3912578464045691
Aug 2023 selloff,HAR,11,0.0011749029647755546,0.0028655878624673026,0.0014332967007658728,-5.737051193721416
Aug 2023 selloff,GARCH,11,0.0011749029647755546,0.0030148325709576877,0.0011846301879706363,-3.6367742193059076
Aug 2023 selloff,EGARCH,11,0.0011749029647755546,0.003032439116674899,0.0010577211823151367,-1.6126945918940465
Aug 2023 selloff,LSTM,11,0.0011749029647755546,0.003029259415715143,0.001218824823560809,-3.8670579875009135
Aug 2023 selloff,Hybrid,11,0.0011749029647755546,0.003026377060792536,0.0012091676274653454,-3.877321147383763
Oct 2023 ETF rally,Naive,16,0.0009520183743759597,0.0017008313432583235,0.0009991506810080636,-2.9979380295280116
Oct 2023 ETF rally,HAR,16,0.0009520183743759597,0.001310268642869904,0.001064267728757009,-5.936073375507407
Oct 2023 ETF rally,GARCH,16,0.0009520183743759597,0.0013895186082734704,0.0008235462510450154,-5.380155313141566
Oct 2023 ETF rally,EGARCH,16,0.0009520183743759597,0.0013956061341089522,0.0008522969031897715,-5.411451020351542
Oct 2023 ETF rally,LSTM,16,0.0009520183743759597,0.001407024342996812,0.0008847334386509278,-5.243968834612387
Oct 2023 ETF rally,Hybrid,16,0.0009520183743759597,0.0014056322903550499,0.0008655297505153216,-5.179595227779108
ETF approval,Naive,21,0.0008847383865764417,0.0006812420061925202,0.0004994595410937118,-5.67245675157847
ETF approval,HAR,21,0.0008847383865764417,0.0007289488881245944,0.0006041533996488583,-6.036330396605257
ETF approval,GARCH,21,0.0008847383865764417,0.0007784330117425348,0.0006548197377264392,-5.996395605228776
ETF approval,EGARCH,21,0.0008847383865764417,0.0007765545506056755,0.0006855481791734917,-6.00535999403255
ETF approval,LSTM,21,0.0008847383865764417,0.0007913317003626627,0.0005463550528540439,-6.088274032984787
ETF approval,Hybrid,21,0.0008847383865764417,0.0007915892215826856,0.0005321011683708487,-6.095750545326137
BTC halving,Naive,11,0.0010761519844356183,0.0008450700321198198,0.0005931326991668364,-5.852559048560663
BTC halving,HAR,11,0.0010761519844356183,0.000667813903745458,0.0005652397061444545,-5.8529098081719475
BTC halving,GARCH,11,0.0010761519844356183,0.0006404023556271641,0.000522531903129,-5.8617225975445395
BTC halving,EGARCH,11,0.0010761519844356183,0.0009513283488716207,0.000858368815220091,-5.740565483334956
BTC halving,LSTM,11,0.0010761519844356183,0.0008215227861909925,0.0006692302960441634,-5.852835270968104
BTC halving,Hybrid,11,0.0010761519844356183,0.000811691525193725,0.0006529079083276364,-5.860374016456709
Yen carry unwind,Naive,10,0.0025083620526312805,0.005231669555132423,0.00289988647492941,-4.33706911601692
Yen carry unwind,HAR,10,0.0025083620526312805,0.0038632051633486005,0.0016211078549842398,-4.568585660516902
Yen carry unwind,GARCH,10,0.0025083620526312805,0.0039552653835203365,0.0018040589417432703,-4.269929726663281
Yen carry unwind,EGARCH,10,0.0025083620526312805,0.003912229725528985,0.00175001832073622,-4.463223468209714
Yen carry unwind,LSTM,10,0.0025083620526312805,0.004334906602218171,0.00256756020918282,-4.799728275407097
Yen carry unwind,Hybrid,10,0.0025083620526312805,0.004337153156914615,0.00254716281479842,-4.791666241676858
